,Country/Region,Province/State,Admin2,Combined_Key,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active
366,Cambodia,,,,1/29/2020 19:30,,,1,,,
367,Sri Lanka,,,,1/29/2020 19:30,,,1,,,
368,Australia,New South Wales,,,1/29/2020 19:30,,,4,,,
369,Australia,Victoria,,,1/29/2020 19:30,,,1,,,
370,Germany,Bavaria,,,1/29/2020 19:30,,,4,,,
371,Finland,,,,1/29/2020 19:30,,,1,,,
372,United Arab Emirates,,,,1/29/2020 19:30,,,4,,,
373,Mainland China,Hubei,,,1/30/2020 16:00,,,4903,162,90,
374,Mainland China,Zhejiang,,,1/30/2020 16:00,,,428,,4,
375,Mainland China,Guangdong,,,1/30/2020 16:00,,,354,,10,
376,Mainland China,Henan,,,1/30/2020 16:00,,,278,2,2,
377,Mainland China,Hunan,,,1/30/2020 16:00,,,277,,2,
378,Mainland China,Anhui,,,1/30/2020 16:00,,,200,,2,
379,Mainland China,Chongqing,,,1/30/2020 16:00,,,182,,1,
380,Mainland China,Jiangxi,,,1/30/2020 16:00,,,162,,5,
381,Mainland China,Shandong,,,1/30/2020 16:00,,,158,,1,
382,Mainland China,Sichuan,,,1/30/2020 16:00,,,142,1,1,
383,Mainland China,Jiangsu,,,1/30/2020 16:00,,,129,,1,
384,Mainland China,Beijing,,,1/30/2020 16:00,,,114,1,4,
385,Mainland China,Shanghai,,,1/30/2020 16:00,,,112,1,5,
386,Mainland China,Fujian,,,1/30/2020 16:00,,,101,,,
387,Mainland China,Guangxi,,,1/30/2020 16:00,,,78,,2,
388,Mainland China,Yunnan,,,1/30/2020 16:00,,,70,,,
389,Mainland China,Hebei,,,1/30/2020 16:00,,,65,1,,
390,Mainland China,Shaanxi,,,1/30/2020 16:00,,,63,,,
391,Mainland China,Hainan,,,1/30/2020 16:00,,,46,1,1,
392,Mainland China,Heilongjiang,,,1/30/2020 16:00,,,44,2,,
393,Mainland China,Liaoning,,,1/30/2020 16:00,,,41,,1,
394,Mainland China,Shanxi,,,1/30/2020 16:00,,,35,,1,
395,Mainland China,Tianjin,,,1/30/2020 16:00,,,31,,,
396,Mainland China,Gansu,,,1/30/2020 16:00,,,26,,,
397,Mainland China,Inner Mongolia,,,1/30/2020 16:00,,,19,,,
398,Mainland China,Ningxia,,,1/30/2020 16:00,,,17,,,
399,Mainland China,Jilin,,,1/30/2020 16:00,,,14,,1,
400,Mainland China,Xinjiang,,,1/30/2020 16:00,,,14,,,
401,Mainland China,Guizhou,,,1/30/2020 16:00,,,12,,1,
402,Hong Kong,Hong Kong,,,1/30/2020 16:00,,,10,,,
403,Taiwan,Taiwan,,,1/30/2020 16:00,,,9,,,
404,Mainland China,Qinghai,,,1/30/2020 16:00,,,8,,,
405,Macau,Macau,,,1/30/2020 16:00,,,7,,,
406,Mainland China,Tibet,,,1/30/2020 16:00,,,1,,,
407,US,Washington,,,1/30/2020 16:00,,,1,,,
408,US,Illinois,,,1/30/2020 16:00,,,1,,,
409,US,California,,,1/30/2020 16:00,,,2,,,
410,US,Arizona,,,1/30/2020 16:00,,,1,,,
411,Japan,,,,1/30/2020 16:00,,,11,,1,
412,Thailand,,,,1/30/2020 16:00,,,14,,5,
413,South Korea,,,,1/30/2020 16:00,,,4,,,
414,Singapore,,,,1/30/2020 16:00,,,10,,,
415,Vietnam,,,,1/30/2020 16:00,,,2,,,
416,France,,,,1/30/2020 16:00,,,5,,,
417,Nepal,,,,1/30/2020 16:00,,,1,,,
418,Malaysia,,,,1/30/2020 16:00,,,8,,,
419,Canada,Ontario,,,1/30/2020 16:00,,,2,,,
420,Canada,British Columbia,,,1/30/2020 16:00,,,1,,,
421,Cambodia,,,,1/30/2020 16:00,,,1,,,
